FeedbackID,VisitID,FacilityID,FacilityName,SubmissionDate,FeedbackComments
1,40345,4,Cascade Specialty Center,2025-09-10,"No wait at all, extremely friendly service"
2,40021,6,Sacramento Valley Hospital,2025-09-03,Friendly nurses throughout my stay
3,10729,2,Pacific Medical,2023-03-13,"Parking nearby, warm and friendly team"
4,29535,1,Mercy General,2024-11-19,"Parking near entrance, wait was average"
5,18889,7,Emerald Urgent Care,2023-12-25,Parking was limited but wait was short
6,20004,1,Mercy General,2024-01-24,The team was friendly and attentive
7,14663,2,Pacific Medical,2023-08-09,Friendly nurses throughout my stay
8,16830,1,Mercy General,2023-10-30,"Wait was reasonable, parking was fine"
9,22463,1,Mercy General,2024-04-12,"Parking nearby, warm and friendly team"
10,33161,6,Sacramento Valley Hospital,2025-02-13,Friendly nurses throughout my stay
11,11262,1,Mercy General,2023-04-02,"Wait was reasonable, parking was fine"
12,43887,4,Cascade Specialty Center,2025-12-11,"Friendly front desk, minimal wait time"
13,12852,2,Pacific Medical,2023-06-01,Parking took a while but staff friendly
14,36964,3,Cascade Urgent Care,2025-06-01,Parking was available and the care was great
15,12196,8,Spokane Specialty Center,2023-05-03,"Wait was reasonable, parking was fine"
16,41866,2,Pacific Medical,2025-10-27,Parking was limited but wait was short
17,41583,1,Mercy General,2025-10-15,"Friendly and fast, excellent experience"
18,18855,2,Pacific Medical,2023-12-29,"Wait was manageable, friendly team"
19,30026,3,Cascade Urgent Care,2024-11-28,Friendly staff made the visit very comfortable
20,35964,2,Pacific Medical,2025-05-05,"Average visit, parking was fine"
21,8164,1,Mercy General,2022-12-15,"Friendly nurses, wait could be shorter"
22,1876,5,Marina Clinic,2022-03-25,"Staff professional, some wait time"
23,43710,1,Mercy General,2025-12-08,"Good experience, moderate wait time"
24,36570,8,Spokane Specialty Center,2025-05-21,"Very friendly doctors, would recommend"
25,16352,2,Pacific Medical,2023-10-11,Friendly staff made the visit very comfortable
26,38315,1,Mercy General,2025-07-12,"Staff professional, some wait time"
27,30390,1,Mercy General,2024-12-06,"Wait was reasonable, parking was fine"
28,24498,1,Mercy General,2024-06-17,"Friendly and fast, excellent experience"
29,40988,1,Mercy General,2025-09-29,Parking was available and the care was great
30,4225,5,Marina Clinic,2022-06-30,"Decent experience, wait a bit long"
31,909,3,Cascade Urgent Care,2022-02-10,"Friendly doctor, clean and welcoming facility"
32,2514,4,Cascade Specialty Center,2022-04-18,Wait was short and staff very friendly
33,25384,2,Pacific Medical,2024-07-15,Parking was easy and the staff was friendly
34,8963,2,Pacific Medical,2023-01-07,"Wait was typical, staff was okay"
35,2521,2,Pacific Medical,2022-04-19,Parking took a while but staff friendly
36,3500,7,Emerald Urgent Care,2022-05-30,Friendly staff but parking was difficult
37,14371,1,Mercy General,2023-07-27,"Friendly doctor, clean and welcoming facility"
38,14238,4,Cascade Specialty Center,2023-07-21,"Friendly care team, parking was convenient"
39,11731,1,Mercy General,2023-04-21,"Wait was reasonable, parking was fine"
40,1426,4,Cascade Specialty Center,2022-03-06,"Wait was typical, staff was okay"
41,21755,5,Marina Clinic,2024-03-18,"Too much wait time, parking was stressful"
42,43685,1,Mercy General,2025-12-09,Parking was easy and the staff was friendly
43,11494,5,Marina Clinic,2023-04-12,Parking was limited but wait was short
44,25430,1,Mercy General,2024-07-10,Wait was short and staff very friendly
45,32505,1,Mercy General,2025-01-22,Friendly staff but parking was difficult
46,20024,3,Cascade Urgent Care,2024-01-29,Friendly staff made the visit very comfortable
47,29286,1,Mercy General,2024-11-07,"Very friendly doctors, would recommend"
48,9765,2,Pacific Medical,2023-02-01,"Parking near entrance, wait was average"
49,22278,6,Sacramento Valley Hospital,2024-04-08,Wait was short and staff very friendly
50,36095,1,Mercy General,2025-05-07,Parking took a while but staff friendly
51,29650,4,Cascade Specialty Center,2024-11-17,"Great care, friendly staff and easy parking"
52,35624,1,Mercy General,2025-04-25,Parking took a while but staff friendly
53,33438,1,Mercy General,2025-02-22,Parking was available and the care was great
54,3224,2,Pacific Medical,2022-05-18,"Staff professional, some wait time"
55,32445,1,Mercy General,2025-01-24,"Good care overall, parking could improve"
56,37981,5,Marina Clinic,2025-07-02,"Friendly and fast, excellent experience"
57,31985,8,Spokane Specialty Center,2025-01-08,"Good care overall, parking could improve"
58,31734,2,Pacific Medical,2025-01-02,Parking took a while but staff friendly
59,11886,5,Marina Clinic,2023-04-27,Friendly nurses throughout my stay
60,26368,7,Emerald Urgent Care,2024-08-12,Parking was available and the care was great
61,33391,2,Pacific Medical,2025-02-19,The team was friendly and attentive
62,16834,2,Pacific Medical,2023-11-03,"Friendly nurses, wait could be shorter"
63,17585,1,Mercy General,2023-11-22,"Wait was reasonable, parking was fine"
64,35098,1,Mercy General,2025-04-09,"Quick service, very friendly nursing staff"
65,33057,2,Pacific Medical,2025-02-09,"Wait was manageable, friendly team"
66,12995,8,Spokane Specialty Center,2023-06-05,"No wait at all, extremely friendly service"
67,44076,2,Pacific Medical,2025-12-16,"Wait was reasonable, parking was fine"
68,19391,4,Cascade Specialty Center,2024-01-09,Staff was friendly and professional
69,26086,1,Mercy General,2024-08-04,"Average visit, parking was fine"
70,16476,3,Cascade Urgent Care,2023-10-16,"Wait was brief, friendly professional staff"
71,42621,5,Marina Clinic,2025-11-16,"Very friendly doctors, would recommend"
72,2602,2,Pacific Medical,2022-04-25,"Wait was typical, staff was okay"
73,25959,2,Pacific Medical,2024-07-31,Wait was short and staff very friendly
74,21763,6,Sacramento Valley Hospital,2024-03-18,"Decent experience, wait a bit long"
75,25292,2,Pacific Medical,2024-07-11,"Staff professional, some wait time"
76,3806,3,Cascade Urgent Care,2022-06-10,"Parking was close, very friendly staff"
77,21590,3,Cascade Urgent Care,2024-03-16,"Friendly and fast, excellent experience"
78,11449,1,Mercy General,2023-04-05,"Wait was manageable, friendly team"
79,43239,4,Cascade Specialty Center,2025-11-29,"Friendly doctor, clean and welcoming facility"
80,643,1,Mercy General,2022-01-27,Parking was available and the care was great
81,3765,2,Pacific Medical,2022-06-08,Parking was limited but wait was short
82,5393,1,Mercy General,2022-08-24,"Parking nearby, warm and friendly team"
83,36183,1,Mercy General,2025-05-09,"Good experience, moderate wait time"
