titre,date_creation,date_maj,date_debut,date_fin,statut,type_produit,domaine_medical,url_ansm,dci_extraite,nom_commercial,dci_norm,annee_debut,mois_debut,annee_mois,en_cours,is_rupture,is_tension,loaded_at,source,ATC1,ATC2,ATC3,ATC4,ATC5,L_ATC5,ATC4_source
"Ropinirole Teva 0,25 mg, 0,50 mg 1 mg et 2 mg, comprimés pelliculés – [ropinirole]",2023-08-02,2026-06-05,2026-03-04,,Tension d'approvisionnement,Médicaments,Neurologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ropinirole-0-25-mg-0-5-mg-1-mg-2-mg-et-5mg-comprime-pellicule-ropinirole,ropinirole,"Ropinirole Teva 0,25 mg, 0,50 mg 1 mg et 2 mg, comprimés pelliculés",ropinirole,2026,3,2026-03,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Emblaveo 1,5 g/0,5 g, poudre pour solution à diluer pour perfusion – [avibactam sodique, aztréonam]",2026-03-16,2026-06-05,2026-02-13,,Tension d'approvisionnement,Médicaments,Infectiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/emblaveo-1-5-g-0-5-g-poudre-pour-solution-a-diluer-pour-perfusion-avibactam-sodique-aztreonam,"avibactam sodique, aztréonam","Emblaveo 1,5 g/0,5 g, poudre pour solution à diluer pour perfusion","avibactam sodique, aztréonam",2026,2,2026-02,1,0,1,20260608,ANSM_DISPO_2026,,,,J01,,,fallback_domaine
"Levocarnil 1 g/5 ml, solution injectable en ampoule – [lévocarnitine]",2026-04-30,2026-06-05,2026-04-29,,Tension d'approvisionnement,Médicaments,Hépato-gastroentérologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/levocarnitine-1-g-5-ml-solution-injectable-en-ampoule-levocarnitine,lévocarnitine,"Levocarnil 1 g/5 ml, solution injectable en ampoule",lévocarnitine,2026,4,2026-04,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Primaquine Sanofi 15 mg, comprimé pelliculé, flacon de 100 comprimés avec kit de reconditionnement – [primaquine (diphosphate de)]",2026-06-04,,2026-05-29,,Rupture de stock,Médicaments,Infectiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/primaquine-sanofi-15-mg-comprime-pellicule-flacon-de-100-comprimes-avec-kit-de-reconditionnement-primaquine-diphosphate-de,primaquine (diphosphate de),"Primaquine Sanofi 15 mg, comprimé pelliculé, flacon de 100 comprimés avec kit de reconditionnement",primaquine,2026,5,2026-05,1,1,0,20260608,ANSM_DISPO_2026,,,,J01,,,fallback_domaine
"Zypadhera 300 mg, poudre et solvant pour suspension injectable à libération prolongée - [olanzapine (pamoate d') monohydraté]",2024-07-18,2026-06-04,2024-05-02,,Tension d'approvisionnement,Médicaments,Psychiatrie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zypadhera-300-mg-poudre-et-solvant-pour-suspension-injectable-a-liberation-prolongee-olanzapine-pamoate-d-monohydrate,olanzapine (pamoate d') monohydraté,"Zypadhera 300 mg, poudre et solvant pour suspension injectable à libération prolongée",olanzapine monohydraté,2024,5,2024-05,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Holoxan 1000 mg, poudre pour solution injectable et 2000 mg, poudre pour usage parentéral – [ifosfamide]",2025-12-08,2026-06-04,2026-01-13,,Tension d'approvisionnement,Médicaments,"Hématologie, Oncologie/Radiothérapie",https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/holoxan-1000-mg-poudre-pour-solution-injectable-et-2000-mg-poudre-pour-usage-parenteral-ifosfamide,ifosfamide,"Holoxan 1000 mg, poudre pour solution injectable et 2000 mg, poudre pour usage parentéral",ifosfamide,2026,1,2026-01,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Tarka LP 180 mg/2 mg, comprimé pelliculé à libération prolongée, boite de 30 comprimés et de 90 comprimés – [trandolapril/vérapamil (chlorhydrate de)]",2026-02-18,2026-06-04,2025-06-19,,Tension d'approvisionnement,Médicaments,Cardiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-180-mg-2-mg-comprime-pellicule-a-liberation-prolongee-boite-de-30-comprimes-et-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de,trandolapril/vérapamil (chlorhydrate de),"Tarka LP 180 mg/2 mg, comprimé pelliculé à libération prolongée, boite de 30 comprimés et de 90 comprimés",trandolapril/vérapamil,2025,6,2025-06,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Tarka LP 240 mg/2 mg, comprimé pelliculé à libération prolongée, boite de 30 comprimés et de 90 comprimés – [trandolapril/vérapamil (chlorhydrate de)]",2026-02-18,2026-06-04,2025-03-19,,Tension d'approvisionnement,Médicaments,Cardiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-240-mg-2-mg-comprime-pellicule-a-liberation-prolongee-boite-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de,trandolapril/vérapamil (chlorhydrate de),"Tarka LP 240 mg/2 mg, comprimé pelliculé à libération prolongée, boite de 30 comprimés et de 90 comprimés",trandolapril/vérapamil,2025,3,2025-03,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Tarka LP 240 mg/4 mg, comprimé pelliculé à libération prolongée, boite de 90 comprimés – [trandolapril/vérapamil (chlorhydrate de)]",2026-02-18,2026-06-04,2026-05-29,,Tension d'approvisionnement,Médicaments,Cardiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-240-mg-4-mg-comprime-pellicule-a-liberation-prolongee-boite-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de,trandolapril/vérapamil (chlorhydrate de),"Tarka LP 240 mg/4 mg, comprimé pelliculé à libération prolongée, boite de 90 comprimés",trandolapril/vérapamil,2026,5,2026-05,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Tarka LP 240 mg/4 mg, comprimé pelliculé à libération prolongée, boite de 30 comprimés – [trandolapril/vérapamil (chlorhydrate de)]",2026-02-18,2026-06-04,2026-01-30,,Tension d'approvisionnement,Médicaments,Cardiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-240-mg-4-mg-comprime-pellicule-a-liberation-prolongee-boite-de-30-comprimes-trandolapril-verapamil-chlorhydrate-de,trandolapril/vérapamil (chlorhydrate de),"Tarka LP 240 mg/4 mg, comprimé pelliculé à libération prolongée, boite de 30 comprimés",trandolapril/vérapamil,2026,1,2026-01,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
