cis,nom_medicament,cause,classification,date_evenement,code_atc,molecule,laboratoire,nb_patients_ville,est_antihistaminique,annee,mois,trimestre,saison_allergies,cause_categorie
66136969,"voriconazole stragen 200 mg, poudre pour solution pour perfusion",Défaut d'approvisionnement en Matière Première,rupture,2021-05-04,J02AC03,Voriconazole,stragen-france,,False,2021,5,2,1,Approvisionnement matiere
66895877,"metformine teva 850 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2023-07-20,A10BA02,Metformine,teva sante,100000.0,False,2023,7,3,0,Capacite production
66895877,"metformine teva 850 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-07-15,A10BA02,Metformine,teva sante,100000.0,False,2022,7,3,0,Capacite production
66895877,"metformine teva 850 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-07-07,A10BA02,Metformine,teva sante,100000.0,False,2022,7,3,0,Capacite production
63834189,"dasatinib vivanta 50 mg, comprimé pelliculé",Transfert de site,rupture,2022-07-01,L01EA02,Dasatinib,vivanta generics (république tchèque),20.0,False,2022,7,3,0,Autre
69193861,"bicalutamide teva 50 mg, comprimé pelliculé",Difficulté réglementaire,rupture,2022-06-22,L02BB03,Bicalutamide,teva sante,5000.0,False,2022,6,2,1,Autre
61589937,"rizatriptan teva 10 mg, comprimé orodispersible",Défaut d'approvisionnement en Matière Première,rupture,2022-06-13,N02CC04,Rizatriptan,teva sante,7000.0,False,2022,6,2,1,Approvisionnement matiere
69475939,"coversyl 2,5 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-05-16,C09AA04,Périndopril,les laboratoires servier,100000.0,False,2022,5,2,1,Capacite production
68674482,"ropivacaine b braun 7,5 mg/ml, solution injectable en ampoule",Augmentation du volume de vente,rupture,2022-05-04,N01BB09,Ropivacaïne,b braun melsungen,,False,2022,5,2,1,Augmentation demande
67089141,"cefazoline panpharma 2 g/10 ml, poudre et solution pour usage parentéral (iv)",Augmentation du volume de vente,rupture,2022-05-30,J01DB04,Céfazoline,panpharma,,False,2022,5,2,1,Augmentation demande
67830373,"aripiprazole arrow 1 mg/ml, solution buvable",Autre,rupture,2022-06-27,N05AX12,Aripiprazole,arrow generiques,3000.0,False,2022,6,2,1,Autre
68114697,"atosiban altan 37,5 mg/5 ml, solution à diluer pour perfusion",Augmentation du volume de vente,rupture,2023-03-20,G02CX01,Atosiban,altan pharma (irlande),,False,2023,3,1,1,Augmentation demande
68114697,"atosiban altan 37,5 mg/5 ml, solution à diluer pour perfusion",Problème de transport/logistique,rupture,2022-08-31,G02CX01,Atosiban,altan pharma (irlande),,False,2022,8,3,0,Logistique
64139742,"orbenine 500 mg, gélule",Défaut d'approvisionnement en Matière Première,rupture,2022-06-13,J01CF02,Cloxacilline,cheplapharm arzneimittel (allemagne),100000.0,False,2022,6,2,1,Approvisionnement matiere
63382862,"kaleorid lp 1000 mg, comprimé à libération prolongée",Difficulté réglementaire,rupture,2022-05-09,A12BA01,Chlorure de potassium,karo pharma (suede),100000.0,False,2022,5,2,1,Autre
68632565,"tiapridal 100 mg/2 ml, solution injectable",Défaut d'approvisionnement en Article de Conditionnement,rupture,2023-02-20,N05AL03,Tiapride,neuraxpharm france,2000.0,False,2023,2,1,0,Approvisionnement matiere
69339992,"olanzapine arrow 10 mg, comprimé orodispersible",Défaut d'approvisionnement en Matière Première,rupture,2022-04-29,N05AH03,Olanzapine,arrow generiques,1000.0,False,2022,4,2,1,Approvisionnement matiere
63146246,"metformine arrow lab 1000 mg, comprimé pelliculé sécable",Autre,rupture,2022-09-12,A10BA02,Metformine,arrow generiques,100000.0,False,2022,9,3,0,Autre
66171532,"amlodipine/valsartan zentiva 10 mg/160 mg, comprimé pelliculé",Problème qualité : Analyse non conforme,rupture,2023-12-18,C09DB01,Valsartan et amlodipine,zentiva france,5000.0,False,2023,12,4,0,Autre
66171532,"amlodipine/valsartan zentiva 10 mg/160 mg, comprimé pelliculé",Transfert de site,rupture,2024-01-24,C09DB01,Valsartan et amlodipine,zentiva france,5000.0,False,2024,1,1,0,Autre
66171532,"amlodipine/valsartan zentiva 10 mg/160 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-04-25,C09DB01,Valsartan et amlodipine,zentiva france,5000.0,False,2022,4,2,1,Capacite production
62920265,"amlodipine zentiva 10 mg, gélule",Transfert de site,rupture,2022-12-26,C08CA01,Amlodipine,zentiva france,60000.0,False,2022,12,4,0,Autre
66895877,"metformine teva 850 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2023-07-06,A10BA02,Metformine,teva sante,100000.0,False,2023,7,3,0,Capacite production
65478140,"ketoconazole teva 2 %, crème",Autre,rupture,2022-06-07,D01AC08,Kétoconazole,teva (pays-bas),20000.0,False,2022,6,2,1,Autre
66503041,"desloratadine zentiva 0,5 mg/ml, solution buvable",Capacité de production insuffisante,rupture,2022-04-18,R06AX27,Desloratadine,zentiva france,200000.0,True,2022,4,2,1,Capacite production
65478140,"ketoconazole teva 2 %, crème",Défaut d'approvisionnement en Article de Conditionnement,rupture,2024-04-23,D01AC08,Kétoconazole,teva (pays-bas),20000.0,False,2024,4,2,1,Approvisionnement matiere
65485665,"ipratropium almus pharma 0,50 mg/2 ml adultes, solution pour inhalation par nébuliseur en récipient unidose",Capacité de production insuffisante,rupture,2022-07-01,R03BB01,Bromure d'ipratropium,almus france,900.0,False,2022,7,3,0,Capacite production
