ProductKey,ProductName,SKU,Category,SubCategory,Brand,RepairabilityIndex,WeightKg,UnitCost,RetailPrice,LaunchDate,Status,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,INTERNAL_CODE
1000,Danone Home Blender Essential,KIT-BL-1000,Kitchen Appliances,Blenders,Danone Home,3.9,1.1,77.05,193.13,2019-03-07,Active,admin,2022-01-15,admin,2024-11-20,INT-38657
1001,PureKitch Coffee Machine Smart,KIT-CO-1001,Kitchen Appliances,Coffee Machines,PureKitch,7.7,6.1,75.08,162.43,2022-04-21,Active,import_bot,2022-01-15,admin,2024-11-20,INT-30926
1002,NutriBlend Food Processor Smart,KIT-FO-1002,Kitchen Appliances,Food Processors,NutriBlend,8.0,1.1,35.82,91.12,2023-10-02,Active,import_bot,2022-01-15,m.leroy,2024-11-20,INT-44671
1003,PureKitch Blender Max,KIT-BL-1003,Kitchen Appliances,Blenders,PureKitch,9.0,0.9,49.14,131.06,2022-06-20,Active,import_bot,2022-01-15,m.leroy,2024-11-20,INT-35203
1004,Danone Home Blender Essential,KIT-BL-1004,Kitchen Appliances,Blenders,Danone Home,9.4,7.3,88.54,175.47,2021-07-17,Active,j.dupont,2022-01-15,system,2024-11-20,INT-31319
1005,NutriBlend Toaster Compact,KIT-TO-1005,Kitchen Appliances,Toasters,NutriBlend,9.1,5.6,30.69,76.08,2020-05-16,Active,admin,2022-01-15,system,2024-11-20,INT-59735
1006,PureKitch Toaster Pro,KIT-TO-1006,Kitchen Appliances,Toasters,PureKitch,5.1,6.6,71.45,181.39,2019-03-07,Active,import_bot,2022-01-15,system,2024-11-20,INT-45093
1007,Danone Home Blender Classic,KIT-BL-1007,Kitchen Appliances,Blenders,Danone Home,7.7,2.0,107.0,230.88,2022-08-09,Active,import_bot,2022-01-15,admin,2024-11-20,INT-44718
1008,Danone Home Coffee Machine Smart,KIT-CO-1008,Kitchen Appliances,Coffee Machines,Danone Home,7.9,3.8,88.76,193.89,2019-10-11,Active,j.dupont,2022-01-15,system,2024-11-20,INT-21915
1009,Danone Home Blender Smart,KIT-BL-1009,Kitchen Appliances,Blenders,Danone Home,7.4,5.2,24.3,63.62,2021-08-16,Active,j.dupont,2022-01-15,system,2024-11-20,INT-82512
1010,PureKitch Blender Eco,KIT-BL-1010,Kitchen Appliances,Blenders,PureKitch,6.5,2.5,91.7,188.55,2021-06-09,Active,admin,2022-01-15,system,2024-11-20,INT-10425
