payload_id,launch_id,payload_name,payload_type,mass_kg,target_orbit,customer_id,deployment_status,manufacturer
PL-0001,SX-0001,Crew-88-PL,Cargo (Dragon),6954,ISS,C001,Deployed,Thales Alenia
PL-0002,SX-0002,Dragon-55-PL,Satellite - Commercial,2416,GTO,C005,Deployed,Planet Labs
PL-0003,SX-0003,Iridium NEXT-57-PL,Science Probe,7219,LEO,C001,Lost,Airbus
PL-0004,SX-0004,NROL-48-PL,Satellite - Commercial,3221,MEO,C010,Deployed,Northrop Grumman
PL-0005,SX-0005,Arabsat-46-PL,Satellite - Commercial,4987,GTO,C006,Deployed,Maxar
PL-0006,SX-0006,O3b-96-PL,Satellite - Commercial,6586,GEO,C009,Deployed,Planet Labs
PL-0007,SX-0007,Transporter-53-PL,Cargo (Dragon),2203,ISS,C001,Lost,Maxar
PL-0008,SX-0008,USSF-05-PL,Satellite - Commercial,2885,GEO,C005,Lost,Airbus
PL-0009,SX-0009,Crew-52-PL,Cargo (Dragon),-3864,TLI,C001,Deployed,Airbus
PL-0010,SX-0010,USSF-69-PL,Satellite - Commercial,5274,MEO,C005,Deployed,Planet Labs
PL-0011,SX-0011,SES-45-PL,Cargo (Dragon),4174,TLI,C001,Deployed,SpaceX
PL-0012,SX-0012,Iridium NEXT-56-PL,Cargo (Dragon),6723,LEO,C007,Deployed,Airbus
PL-0013,SX-0013,OneWeb-85-PL,Satellite - Commercial,4704,MEO,C006,Deployed,Maxar
PL-0014,SX-0014,CRS-25-PL,Satellite - Commercial,4422,MEO,C005,Deployed,Planet Labs
PL-0015,SX-0015,Starlink-27-PL,Satellite - Commercial,2003,GEO,C006,Deployed,Boeing
PL-0016,SX-0016,Intelsat-95-PL,Satellite - Commercial,3750,MEO,C005,Deployed,Airbus
PL-0017,SX-0017,Transporter-26-PL,Satellite - Commercial,4542,GTO,C004,Lost,Maxar
PL-0018,SX-0018,Iridium NEXT-90-PL,Satellite - Commercial,6715,GTO,C010,Deployed,Maxar
PL-0019,SX-0019,Crew-23-PL,Satellite - Commercial,2873,GEO,C006,Deployed,Airbus
PL-0020,SX-0020,AsiaSat-72-PL,Satellite - Commercial,5806,MEO,C006,Deployed,Planet Labs
PL-0021,SX-0021,Starlink-97-PL,Satellite - Commercial,5888,GEO,C010,Lost,SpaceX
PL-0022,SX-0022,Starlink-43-PL,Satellite - Commercial,4340,,C010,Deployed,Northrop Grumman
PL-0023,SX-0023,Crew-09-PL,Satellite - Commercial,3251,MEO,C006,Deployed,Northrop Grumman
PL-0024,SX-0024,Arabsat-99-PL,Satellite - Commercial,5441,GEO,C010,Deployed,SpaceX
PL-0025,SX-0025,USSF-54-PL,Satellite - Commercial,4446,GEO,C010,Deployed,Thales Alenia
PL-0026,SX-0026,Dragon-87-PL,Satellite - Commercial,5185,GEO,C009,Deployed,Planet Labs
PL-0027,SX-0027,Dragon-55-PL,Satellite - Government,1722,MEO,C003,Lost,Maxar
PL-0028,SX-0028,Starlink-97-PL,Cargo (Dragon),4677,ISS,C001,Deployed,Thales Alenia
PL-0029,SX-0029,Dragon-09-PL,Satellite - Commercial,4866,,C009,Deployed,Thales Alenia
PL-0030,SX-0030,Intelsat-86-PL,Satellite - Government,3454,MEO,C003,Lost,Northrop Grumman
PL-0031,SX-0031,Iridium NEXT-15-PL,Satellite - Commercial,6974,MEO,C009,Lost,Planet Labs
PL-0032,SX-0032,Iridium NEXT-26-PL,Satellite - Commercial,5074,GEO,C010,Lost,Northrop Grumman
PL-0033,SX-0033,Transporter-06-PL,Satellite - Government,2491,GTO,C003,Deployed,Boeing
PL-0034,SX-0034,GPS-56-PL,Satellite - Commercial,5441,GEO,C006,Deployed,Maxar
PL-0035,SX-0035,Transporter-69-PL,Satellite - Commercial,4212,MEO,C008,Deployed,Boeing
PL-0036,SX-0036,Arabsat-58-PL,Satellite - Commercial,2709,GEO,C010,Deployed,SpaceX
PL-0037,SX-0037,Intelsat-28-PL,Satellite - Commercial,4662,GTO,C010,Deployed,Airbus
PL-0038,SX-0038,Crew-11-PL,Satellite - Commercial,2083,MEO,C006,Deployed,Boeing
PL-0039,SX-0039,Transporter-03-PL,Satellite - Commercial,6020,GEO,C010,Deployed,Airbus
PL-0040,SX-0040,AsiaSat-45-PL,Satellite - Commercial,5876,MEO,C008,Deployed,TBD
PL-0041,SX-0041,GPS-93-PL,Satellite - Commercial,4059,GTO,C006,Deployed,Thales Alenia
PL-0042,SX-0042,Iridium NEXT-76-PL,Satellite - Commercial,5966,GEO,C010,Deployed,Maxar
PL-0043,SX-0043,AsiaSat-17-PL,Satellite - Government,1615,GTO,C003,Deployed,Planet Labs
